"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Global Effect","Strategy,General","Make the decisions of a world leader as you control the balance of nature versus civilisation. Power-up and expand cities to rival those of Mother Earth, but watch out for global warming pollution, encroaching desert and deforestation. Destroy the enemy that trieds to blast your cities and poison your planet.The world is in your hands - take control!","n/a","n/a","n/a","Millenium Interactive","1994 ","http://www.gamefaqs.com/cd32/952093-global-effect"
"Gloom","Action,Shooter,First-Person,Sci-Fi","Sure, Gloom features the hottest 'you are there' 3-D graphics around - the most disturbingly realistic sound effects - the hugest armyof bizarre and bloodthirsty creatures yet assembled in one game.But none of that really matters when a game is this much sheer fun to play!","n/a","4.7","n/a","Black Magic Software","1995 ","http://www.gamefaqs.com/cd32/952221-gloom"
"Grandslam Gamer Gold Collection","Miscellaneous,Compilation","Grandslam Gamer Gold Collection is a Miscellaneous game, developed and published by Grandslam,which was released in Europe in 1995.","n/a","n/a","n/a","Grandslam","1995 ","http://www.gamefaqs.com/cd32/619950-grandslam-gamer-gold-collection"
"Guardian","Action,Shooter,Third-Person,Sci-Fi","Guardian is an Action game, developed by Acid Software and published by Guildhall Leisure Services Ltd.,which was released in Europe in 1994.","n/a","7.0","n/a","Acid Software","1994 ","http://www.gamefaqs.com/cd32/952223-guardian"
"Gulp!","Miscellaneous,Puzzle,Action","Gulp! is a Miscellaneous game, developed and published by ICE,which was released in Europe in 1994.","n/a","n/a","n/a","ICE","1994 ","http://www.gamefaqs.com/cd32/619890-gulp"
"Gunship 2000","Simulation,Flight,Helicopter","Gunship 2000 puts you in the pilot's seat of a modern helicopter gunship, flying across a visually accurate topographical 3-D world. This is your chance to battle through two massive combat theatres and to undertake missions that will test your leadership skills to the full.Ultimately, you'll command five choppers - you choose the type, you choose the weapons, you choose the crew and you give the orders - as mission after mission is mercilessly thrown at you in vast military Campaigns.Gunship 2000 - with full training, decorations and career promotions, this is the ultimate combat helicopter simulation.","n/a","n/a","n/a","MicroProse","1994 ","http://www.gamefaqs.com/cd32/952174-gunship-2000"
"Heimdall 2","Adventure,General","The evil Loki and his ravaging Hakrat Hordes will soon become too powerful for resistance. It is time for the Gods to intervene before all is lost. Play the role of Heindall and sacrifice your divinity as you return to the six vast Viking lands known as Yggdrasil in a quest to recover the pieces of the Sacred Amulet and stop Loki dead in his tracks.","n/a","7.0","n/a","The 8th Day","1994 ","http://www.gamefaqs.com/cd32/952175-heimdall-2"
"HeroQuest II: Legacy of Sorasil","Strategy,Turn-Based,Fantasy","HeroQuest II: Legacy of Sorasil is a Strategy game, developed and published by Gremlin Graphics,which was released in Europe in 1994.","n/a","n/a","n/a","Gremlin Graphics","1994 ","http://www.gamefaqs.com/cd32/958863-heroquest-ii-legacy-of-sorasil"
"Humans 1 and 2","Miscellaneous,Compilation","Humans 1 and 2 is a Miscellaneous game, developed by Imagitec Design, Inc. and published by GameTek,which was released in Europe in 1994.","n/a","n/a","n/a","Imagitec Design, Inc.","1994 ","http://www.gamefaqs.com/cd32/956483-humans-1-and-2"
"Humans III: Evolution Lost In Time","Miscellaneous,Puzzle,General","Humans III: Evolution Lost In Time is a Miscellaneous game, developed by Imagitec Design, Inc. and published by GameTek,which was released in Europe in 1996.","n/a","n/a","n/a","Imagitec Design, Inc.","1996 ","http://www.gamefaqs.com/cd32/619894-humans-iii-evolution-lost-in-time"
